seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
100768,0,0.00,472,0,0.782,0,0,0,0,104
101554,0,0.08,173138,0,1.278,1,0,0,16822,39410
102188,0,0.10,179709,0,1.053,1,0,0,21733,40273
102730,0,0.07,182628,0,1.127,1,0,0,12338,40936
103183,0,0.07,174884,0,1.165,1,0,0,16124,39729
105151,0,0.06,182056,0,1.077,1,0,0,7862,40596
105560,0,0.00,573,0,0.556,0,0,0,0,208
105868,0,0.06,184223,0,1.254,1,0,0,7797,41166
106288,0,0.06,177321,0,1.234,1,0,0,6663,40366
106381,0,0.08,183319,0,1.294,1,0,0,12508,40934
107556,0,0.00,573,0,0.627,0,0,0,0,208
108246,0,0.06,180749,0,1.266,1,0,0,5438,40936
108967,0,0.00,472,0,0.572,0,0,0,0,104
11040,0,0.08,178178,0,0.947,1,0,0,26954,40384
112420,0,0.00,472,0,0.609,0,0,0,0,104
113667,0,0.07,183033,0,1.108,1,0,0,7355,40925
113743,0,0.07,184245,0,1.119,1,0,0,12395,41115
114379,0,0.08,178736,0,1.138,1,0,0,8449,40202
115509,0,0.00,472,0,0.564,0,0,0,0,104
115981,0,0.00,472,0,0.711,0,0,0,0,104
116270,0,0.00,573,0,0.55,0,0,0,0,208
117866,0,0.08,179362,0,0.973,1,0,0,15570,40544
119571,0,0.09,185326,0,1.136,1,0,0,12626,41201
121280,0,0.00,472,0,0.532,0,0,0,0,104
12155,0,0.00,573,0,0.61,0,0,0,0,208
12221,0,0.08,183585,0,1.198,1,0,0,17416,41068
122305,0,0.06,184975,0,1.286,1,0,0,6835,41258
123077,0,0.09,180746,0,0.976,1,0,0,18415,40849
12359,0,0.08,178334,0,1.213,1,0,0,22674,40465
125091,0,0.11,173867,0,1.176,1,0,0,8351,40026
128398,0,0.09,178473,0,1.268,1,0,0,17039,40026
129405,0,0.08,177734,0,1.123,1,0,0,22349,40386
13053,0,0.00,472,0,0.654,0,0,0,0,104
