seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
1,0,0.00,472,0,0.675,0,0,0,0,104
10,0,0.09,220816,0,1.158,1,0,0,13048,42028
100,0,0.07,223332,0,1.235,1,0,0,7446,42556
1000,0,0.00,674,0,0.636,0,0,0,0,312
10000,0,0.25,148895,0,1.577,0,0,0,31792,30382
1001,0,0.00,573,0,0.618,0,0,0,0,208
1002,0,0.08,212045,0,1.308,1,0,0,9034,40517
1003,0,0.12,215544,0,1.322,1,0,0,33029,41120
1004,0,0.09,218543,0,1.239,1,0,0,16888,42050
1005,0,0.12,217847,0,1.074,1,0,0,20313,41965
1006,0,0.08,210671,0,1.282,1,0,0,12555,40847
1007,0,0.21,219708,0,1.095,1,0,0,76767,41938
1008,0,0.10,220869,0,1.135,1,0,0,20585,42164
1009,0,0.08,211393,0,1.118,1,0,0,12342,40803
101,0,0.11,211644,0,1.159,1,0,0,19809,40919
1010,0,0.11,219479,0,1.11,1,0,0,34000,42031
1011,0,0.09,224667,0,1.188,1,0,0,12787,42715
1012,0,0.10,219661,0,1.135,1,0,0,21729,42241
1013,0,0.09,216209,0,1.208,1,0,0,21575,41760
1014,0,0.12,221234,0,1.186,1,0,0,20596,42223
1015,0,0.11,208272,0,1.326,1,0,0,24452,39973
1016,0,0.12,222662,0,1.165,1,0,0,23237,42429
1017,0,0.11,222559,0,1.063,1,0,0,14909,42497
1018,0,0.12,214632,0,1.154,1,0,0,32976,41405
1019,0,0.09,210238,0,1.293,1,0,0,12678,40798
102,0,0.00,472,0,0.868,0,0,0,0,104
1020,0,0.09,223975,0,1.108,1,0,0,9230,42510
1021,0,0.11,224096,0,1.314,1,0,0,18281,42665
1022,0,0.08,217307,0,1.121,1,0,0,11908,41544
1023,0,0.07,217309,0,1.159,1,0,0,8892,41895
1024,0,0.00,472,0,0.781,0,0,0,0,104
1025,0,0.08,212296,0,1.172,1,0,0,13257,40966
1026,0,0.16,218108,0,1.169,1,0,0,28226,41525
1027,0,0.00,472,0,0.737,0,0,0,0,104
1028,0,0.10,222311,0,1.469,1,0,0,19066,42682
1029,0,0.09,220913,0,1.375,1,0,0,23754,42147
103,0,0.19,226762,0,1.113,1,0,0,44349,43167
1030,0,0.08,217284,0,1.106,1,0,0,14129,41845
1031,0,0.09,224453,0,1.095,1,0,0,11898,42628
1032,0,0.05,183127,0,1.174,0,0,0,5855,34886
1033,0,0.15,202676,0,1.345,1,0,0,39825,39012
1034,0,0.11,223494,0,1.058,1,0,0,30628,42524
1035,0,0.11,212859,0,1.133,1,0,0,16319,41420
1036,0,0.10,221183,0,1.086,1,0,0,22145,42218
1037,0,0.09,219450,0,1.149,1,0,0,11302,41908
1038,0,0.08,224732,0,1.221,1,0,0,11365,42860
1039,0,0.07,211264,0,1.187,1,0,0,7490,41209
104,0,0.08,219389,0,1.127,1,0,0,11139,42352
1040,0,0.10,213424,0,1.149,1,0,0,28201,40995
1041,0,0.11,213064,0,1.246,1,0,0,21495,40988
1042,0,0.10,214821,0,1.124,1,0,0,13143,41055
1043,0,0.10,220607,0,1.17,1,0,0,19656,42075
1044,0,0.17,126583,0,1.13,0,0,0,20052,25932
1045,0,0.09,211172,0,1.147,1,0,0,15663,40893
1046,0,0.14,213640,0,1.159,1,0,0,31627,40715
1047,0,0.08,217448,0,1.171,1,0,0,12372,41877
1048,0,0.08,215427,0,1.131,1,0,0,16044,41723
1049,0,0.09,217819,0,1.203,1,0,0,12180,41804
105,0,11.39,214673,0,1.173,0,0,0,392306,41199
1050,0,0.09,223825,0,1.127,1,0,0,15518,42420
1051,0,0.07,214659,0,1.252,1,0,0,7783,41300
1052,0,0.10,218129,0,1.09,1,0,0,19808,41977
1053,0,0.09,222825,0,1.154,1,0,0,14474,42491
1054,0,0.11,213201,0,1.142,1,0,0,16407,41104
1055,0,0.20,218704,0,1.265,1,0,0,44587,41773
1056,0,0.10,219297,0,1.221,1,0,0,18175,42174
1057,0,0.10,213308,0,1.207,1,0,0,26235,40699
1058,0,0.09,219948,0,1.123,1,0,0,25236,41784
1059,0,0.09,223361,0,1.074,1,0,0,13935,42585
106,0,1.15,179214,0,1.221,0,0,0,93395,35383
1060,0,0.09,218758,0,1.193,1,0,0,14713,41734
1061,0,0.10,219810,0,1.134,1,0,0,20502,42409
1062,0,0.08,213362,0,1.169,1,0,0,7888,40649
1063,0,0.07,206430,0,1.462,1,0,0,10742,40108
1064,0,0.10,218754,0,1.236,1,0,0,22861,41651
1065,0,0.08,219920,0,1.348,1,0,0,10222,42371
1066,0,1.73,173239,0,1.24,0,0,0,166065,34217
1067,0,0.00,472,0,0.779,0,0,0,0,104
1068,0,0.24,217315,0,1.188,1,0,0,62654,41871
1069,0,0.13,219517,0,1.521,1,0,0,32093,41872
107,0,5.23,185037,0,1.764,0,0,0,219677,36156
1070,0,0.12,217215,0,1.335,1,0,0,28939,41595
1071,0,0.09,218200,0,1.094,1,0,0,22946,41850
1072,0,0.10,219335,0,1.083,1,0,0,8614,42433
1073,0,1.25,220167,0,1.341,1,0,0,94016,41905
1074,0,0.24,221035,0,1.408,1,0,0,63989,41990
1075,0,0.08,210275,0,1.182,1,0,0,13245,40840
1076,0,0.11,211175,0,1.226,1,0,0,22628,40317
1077,0,0.00,472,0,0.489,0,0,0,0,104
1078,0,0.10,221636,0,1.197,1,0,0,20109,42285
1079,0,0.10,219526,0,1.28,1,0,0,15867,41961
108,0,0.21,214625,0,1.133,1,0,0,57904,41094
1080,0,0.15,219237,0,1.111,1,0,0,48919,42309
1081,0,0.73,150375,0,1.22,0,0,0,61910,30550
1082,0,0.12,218378,0,1.191,1,0,0,27993,41741
1083,0,0.07,213646,0,1.094,1,0,0,7091,41236
1084,0,0.09,224406,0,1.026,1,0,0,19477,42756
1085,0,0.08,219801,0,1.058,1,0,0,12066,42477
1086,0,2.35,213191,0,1.308,0,0,0,175874,40751
1087,0,0.07,216235,0,1.344,1,0,0,10806,41508
1088,0,0.08,209105,0,1.234,1,0,0,10389,40450
1089,0,0.10,216838,0,1.181,1,0,0,20173,41387
109,0,0.09,221075,0,1.102,1,0,0,19241,42425
1090,0,0.15,224588,0,1.071,1,0,0,23319,42714
1091,0,0.10,223822,0,1.112,1,0,0,19804,42477
1092,0,0.15,217021,0,1.124,1,0,0,53652,41254
1093,0,0.08,218184,0,1.165,1,0,0,14123,41645
1094,0,0.16,214886,0,1.437,1,0,0,39088,40839
1095,0,0.18,222755,0,1.291,1,0,0,29284,42330
1096,0,0.13,217051,0,1.403,1,0,0,15596,41795
1097,0,0.21,217305,0,1.11,1,0,0,70396,41618
1098,0,0.09,214502,0,1.045,1,0,0,23381,41554
1099,0,0.15,219315,0,1.295,1,0,0,43126,41830
11,0,0.09,210210,0,1.35,1,0,0,18597,40592
110,0,0.09,218139,0,1.211,1,0,0,20034,41683
1100,0,0.09,219640,0,1.148,1,0,0,14701,41791
1101,0,0.10,210950,0,1.117,1,0,0,14337,41219
1102,0,9.62,211229,0,1.395,0,0,0,292187,40513
1103,0,0.11,216442,0,1.291,1,0,0,11064,41667
1104,0,0.10,226355,0,1.222,1,0,0,23838,43082
1105,0,0.43,200907,0,1.389,1,0,0,77977,39435
1106,0,0.00,573,0,0.699,0,0,0,0,208
1107,0,0.09,212637,0,1.071,1,0,0,15056,40967
1108,0,0.10,217290,0,1.119,1,0,0,15866,41651
1109,0,0.16,212302,0,1.07,1,0,0,39876,40896
111,0,0.13,221784,0,1.139,1,0,0,28237,42781
1110,0,0.15,202790,0,1.481,1,0,0,42378,39953
1111,0,0.09,219780,0,1.214,1,0,0,14141,41792
1112,0,0.08,215376,0,1.125,1,0,0,12727,41586
1113,0,0.00,573,0,0.686,0,0,0,0,208
1114,0,0.17,209547,0,1.369,1,0,0,18285,39912
1115,0,1.01,210164,0,1.183,1,0,0,113795,40588
1116,0,0.10,218380,0,1.255,1,0,0,17747,41743
1117,0,0.09,217301,0,1.119,1,0,0,15508,41778
1118,0,0.07,209252,0,1.226,1,0,0,11861,40265
1119,0,0.08,218166,0,1.375,1,0,0,12726,41675
112,0,0.11,222467,0,1.198,1,0,0,31589,42411
1120,0,0.00,573,0,0.484,0,0,0,0,208
1121,0,0.10,222408,0,1.121,1,0,0,24952,42584
1122,0,0.16,227762,0,1.236,1,0,0,41992,43295
1123,0,0.15,224257,0,1.325,1,0,0,29979,42707
1124,0,0.14,210314,0,1.372,1,0,0,47472,39959
1125,0,0.24,210183,0,1.331,1,0,0,48959,40773
1126,0,0.09,214181,0,1.443,1,0,0,14178,41044
1127,0,0.12,219863,0,1.328,1,0,0,28466,42140
1128,0,0.07,220108,0,1.153,1,0,0,7108,42440
1129,0,0.10,219148,0,1.146,1,0,0,18244,41741
113,0,0.12,219423,0,1.067,1,0,0,24653,41854
1130,0,0.09,222589,0,1.325,1,0,0,7417,42397
1131,0,0.11,217748,0,1.031,1,0,0,31898,41497
