seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
100768,0,0.00,472,0,0.464,0,0,0,0,104
101554,0,0.09,209378,0,1.175,1,0,0,14455,40251
102188,0,0.11,213736,0,1.054,1,0,0,24763,40734
103576,0,0.10,212616,0,1.201,1,0,0,29608,41284
105560,0,0.00,573,0,0.597,0,0,0,0,208
105868,0,0.08,221628,0,1.392,1,0,0,12623,42359
10636,0,0.14,222400,0,1.133,1,0,0,12004,42369
106708,0,0.00,472,0,0.566,0,0,0,0,104
107499,0,0.00,573,0,0.843,0,0,0,0,208
107924,0,0.11,218518,0,1.139,1,0,0,25520,42176
108246,0,0.09,217660,0,1.368,1,0,0,15164,41908
108967,0,0.00,472,0,0.718,0,0,0,0,104
112229,0,0.10,213594,0,1.151,1,0,0,22366,41402
112830,0,0.00,674,0,0.799,0,0,0,0,312
112864,0,1.38,215124,0,1.279,0,0,0,72801,41205
113844,0,0.07,222401,0,1.113,1,0,0,7135,42412
113873,0,0.10,211307,0,1.184,1,0,0,20665,41170
114574,0,0.08,219828,0,1.407,1,0,0,14819,42407
116093,0,0.00,573,0,0.603,0,0,0,0,208
116270,0,0.00,573,0,0.523,0,0,0,0,208
11680,0,0.00,573,0,0.543,0,0,0,0,208
117866,0,0.08,215079,0,1.142,1,0,0,11865,41601
118187,0,0.00,472,0,0.471,0,0,0,0,104
121098,0,0.19,211176,0,1.222,1,0,0,31678,41269
121220,0,0.07,216145,0,1.259,1,0,0,11226,41237
121280,0,0.00,472,0,0.545,0,0,0,0,104
121927,0,0.12,211632,0,1.359,1,0,0,32483,40774
122060,0,0.13,216203,0,1.315,1,0,0,32603,41040
12221,0,0.11,215864,0,1.452,1,0,0,17737,41558
122305,0,0.07,223360,0,1.191,1,0,0,6571,42456
122928,0,0.10,210453,0,1.301,0,0,0,9240,40984
