seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
104789,0,0.00,544,0,2.303,0,0,0,0,104
109079,0,0.00,645,0,1.466,0,0,0,0,208
109388,0,0.00,544,0,1.353,0,0,0,0,104
111318,0,0.35,665086,0,4.578,0,0,0,10198,64436
112629,0,31.28,665126,0,5.386,1,0,0,1031922,64004
112642,0,17.72,652659,0,4.933,1,0,0,481131,63164
115890,0,26.57,664235,0,5.173,1,0,0,775195,64422
118065,0,37.81,665345,0,4.241,1,0,0,1367967,64792
118330,0,0.00,544,0,2.628,0,0,0,0,104
124954,0,28.55,672959,0,3.826,1,0,0,912075,65020
127044,0,9.97,662246,0,4.983,1,0,0,230961,63993
129460,0,4.09,672753,0,4.735,1,0,0,101551,65011
136347,0,17.93,659883,0,5.049,0,0,0,481402,64146
138809,0,0.00,645,0,1.412,0,0,0,0,208
143364,0,13.19,667126,0,5.593,1,0,0,434414,64389
145411,0,16.41,671513,0,5.008,1,0,0,446623,65447
146836,0,28.00,663001,0,4.729,1,0,0,844752,64391
146891,0,5.80,654078,0,4.097,1,0,0,173174,63047
147703,0,0.00,544,0,2.019,0,0,0,0,104
148278,0,0.00,746,0,1.746,0,0,0,0,312
148461,0,0.00,544,0,1.289,0,0,0,0,104
148612,0,0.00,544,0,1.268,0,0,0,0,104
149620,0,0.00,645,0,2.502,0,0,0,0,208
150429,0,7.04,680353,0,4.88,1,0,0,186023,65919
157696,0,25.43,651013,0,4.15,1,0,0,828990,62902
159222,0,22.95,665982,0,4.236,1,0,0,673455,64328
16372,0,0.00,645,0,1.647,0,0,0,0,208
168820,0,3.73,669947,0,3.897,1,0,0,140169,64963
171127,0,9.79,672360,0,5.561,1,0,0,168751,64925
172741,0,0.00,544,0,1.507,0,0,0,0,104
179677,0,0.00,544,0,1.278,0,0,0,0,104
182210,0,24.80,674586,0,4.066,1,0,0,769984,65248
183107,0,0.00,544,0,1.999,0,0,0,0,104
184695,0,68.06,666871,0,4.656,0,0,0,1914937,64326
189843,0,6.18,669000,0,5.287,1,0,0,213552,64794
191433,0,16.59,666097,0,3.998,1,0,0,493671,64609
191571,0,0.00,645,0,1.445,0,0,0,0,208
192155,0,0.00,544,0,1.921,0,0,0,0,104
193884,0,0.00,645,0,1.349,0,0,0,0,208
194023,0,0.00,645,0,1.528,0,0,0,0,208
207230,0,0.00,645,0,1.731,0,0,0,0,208
209199,0,20.54,669811,0,4.358,1,0,0,582772,64951
216035,0,0.00,544,0,1.616,0,0,0,0,104
216490,0,0.00,645,0,2.155,0,0,0,0,208
22,0,0.00,544,0,1.607,0,0,0,0,104
224213,0,3.70,671943,0,3.987,1,0,0,114845,64825
224976,0,21.68,677947,0,4.371,1,0,0,678551,65905
227142,0,0.00,544,0,1.241,0,0,0,0,104
229701,0,1.09,665090,0,5.382,1,0,0,38616,64617
231331,0,10.41,664650,0,5.065,1,0,0,209068,64271
235342,0,13.76,650573,0,5.588,1,0,0,365808,63422
237537,0,0.00,544,0,1.24,0,0,0,0,104
238965,0,0.00,746,0,1.346,0,0,0,0,312
240472,0,11.91,676239,0,4.744,1,0,0,325494,65698
241217,0,3.53,667499,0,4.906,1,0,0,102402,65125
241310,0,12.65,669063,0,4.307,1,0,0,307429,64811
244380,0,0.00,645,0,1.435,0,0,0,0,208
245547,0,0.00,544,0,1.5,0,0,0,0,104
246013,0,18.49,657557,0,5.212,1,0,0,534016,63847
248116,0,0.00,645,0,1.702,0,0,0,0,208
250056,0,9.37,666031,0,4.974,1,0,0,206934,64459
252532,0,5.64,666855,0,4.704,1,0,0,215609,64427
252642,0,6.47,672475,0,4.173,1,0,0,191425,65065
252850,0,50.28,670438,0,3.928,1,0,0,1757207,64769
253424,0,2.88,670267,0,4.092,1,0,0,77201,64750
253798,0,0.00,544,0,2.94,0,0,0,0,104
255620,0,0.00,645,0,2.325,0,0,0,0,208
256494,0,0.00,645,0,1.618,0,0,0,0,208
257811,0,29.14,666395,0,4.384,0,0,0,836962,64660
258061,0,0.00,746,0,1.798,0,0,0,0,312
260222,0,0.00,645,0,1.605,0,0,0,0,208
264326,0,18.96,670360,0,4.265,1,0,0,570594,65132
272127,0,5.26,671803,0,5.663,1,0,0,164752,65138
273976,0,17.69,673927,0,6.767,1,0,0,588782,65267
275746,0,17.91,668281,0,5.529,1,0,0,613030,64809
27587,0,0.00,544,0,1.861,0,0,0,0,104
278727,0,20.34,659231,0,5.088,1,0,0,662041,63737
282893,0,0.00,645,0,2.718,0,0,0,0,208
283431,0,20.10,659181,0,4.364,1,0,0,573626,63890
283831,0,62.62,662522,0,4.634,1,0,0,1646315,64579
284741,0,19.82,666708,0,4.492,1,0,0,599736,64637
287049,0,0.00,645,0,1.261,0,0,0,0,208
288205,0,0.00,544,0,1.294,0,0,0,0,104
294291,0,4.84,661653,0,3.973,1,0,0,143827,64311
295291,0,3.73,662121,0,4.925,1,0,0,111470,64027
295858,0,0.00,544,0,1.297,0,0,0,0,104
297578,0,12.83,669404,0,4.16,1,0,0,332503,64738
300221,0,0.00,544,0,1.402,0,0,0,0,104
302562,0,0.00,544,0,1.239,0,0,0,0,104
306396,0,0.00,645,0,1.527,0,0,0,0,208
315926,0,0.58,674861,0,4.523,1,0,0,28084,65493
317837,0,0.00,746,0,2.221,0,0,0,0,312
320988,0,0.00,544,0,1.318,0,0,0,0,104
324059,0,0.00,645,0,1.538,0,0,0,0,208
324671,0,0.00,645,0,1.497,0,0,0,0,208
325572,0,10.89,671818,0,4.115,1,0,0,318281,65118
325753,0,0.00,746,0,1.744,0,0,0,0,312
32910,0,18.15,657278,0,4.832,1,0,0,467221,63998
329395,0,13.49,670483,0,4.771,1,0,0,364090,64795
331283,0,32.12,647590,0,4.655,1,0,0,876915,63034
333112,0,42.15,673612,0,5.009,1,0,0,1381024,64953
339495,0,3.56,677590,0,3.95,1,0,0,105522,65496
339719,0,13.60,663947,0,4.274,1,0,0,393287,64215
341238,0,20.32,662248,0,3.96,1,0,0,630312,63804
342709,0,0.00,645,0,1.36,0,0,0,0,208
352072,0,0.00,746,0,1.457,0,0,0,0,312
355585,0,0.00,544,0,1.842,0,0,0,0,104
358727,0,0.00,645,0,1.474,0,0,0,0,208
362311,0,0.00,645,0,1.611,0,0,0,0,208
365498,0,0.00,544,0,1.679,0,0,0,0,104
367638,0,4.77,666208,0,4.739,1,0,0,175830,64965
368297,0,0.00,544,0,1.692,0,0,0,0,104
369428,0,0.00,544,0,1.788,0,0,0,0,104
36992,0,39.93,669640,0,4.456,1,0,0,1356366,64619
371660,0,19.13,665321,0,4.362,1,0,0,573246,64681
372159,0,27.58,670738,0,4.149,1,0,0,921993,65128
374993,0,20.67,675586,0,4.174,1,0,0,609614,65508
376128,0,19.85,651168,0,4.793,1,0,0,506336,63092
377645,0,0.00,544,0,1.579,0,0,0,0,104
380735,0,0.00,645,0,1.437,0,0,0,0,208
380831,0,0.00,645,0,2.18,0,0,0,0,208
382127,0,0.00,645,0,1.959,0,0,0,0,208
382378,0,10.85,660765,0,4.259,0,0,0,271056,64017
387400,0,24.45,667899,0,4.227,1,0,0,804741,65120
388220,0,0.00,544,0,1.882,0,0,0,0,104
389857,0,12.61,661173,0,5.107,1,0,0,293077,63857
390455,0,4.07,641867,0,4.854,1,0,0,134107,62400
392403,0,5.88,668747,0,3.969,1,0,0,180393,64751
395508,0,0.00,544,0,1.49,0,0,0,0,104
400208,0,3.17,639196,0,4.133,1,0,0,82848,61784
401745,0,19.56,672581,0,4.78,1,0,0,623076,65077
402080,0,0.00,544,0,1.495,0,0,0,0,104
402326,0,12.38,667985,0,4.397,1,0,0,327470,64626
41159,0,0.00,645,0,1.326,0,0,0,0,208
415488,0,0.00,746,0,1.263,0,0,0,0,312
415836,0,0.00,544,0,1.72,0,0,0,0,104
416664,0,51.93,671490,0,4.805,1,0,0,1875652,64741
420455,0,5.89,662536,0,4.16,1,0,0,198195,64205
422709,0,0.00,645,0,1.578,0,0,0,0,208
423538,0,20.03,672451,0,5.149,1,0,0,577908,65194
431115,0,18.70,661455,0,4.152,1,0,0,532443,63879
433026,0,18.75,667783,0,4.251,1,0,0,540147,64485
434272,0,0.00,544,0,1.382,0,0,0,0,104
436284,0,20.06,669529,0,4.656,1,0,0,558356,64848
437372,0,0.00,645,0,1.96,0,0,0,0,208
438724,0,3.88,656087,0,4.12,1,0,0,112900,64093
440176,0,13.29,671994,0,4.326,1,0,0,387652,64936
441758,0,8.55,661013,0,4.951,1,0,0,209925,63360
447276,0,30.09,673535,0,4.407,1,0,0,856370,65373
451791,0,24.83,672780,0,4.486,1,0,0,852192,65067
455033,0,19.27,663250,0,4.486,1,0,0,578356,64069
455876,0,0.00,544,0,1.441,0,0,0,0,104
455984,0,0.00,544,0,1.668,0,0,0,0,104
456620,0,14.57,662439,0,4.395,1,0,0,353366,64173
