seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
1,0,0.00,544,0,2.277,0,0,0,0,104
10,0,13.72,667137,0,4.936,1,0,0,360036,64359
100,0,17.94,669839,0,4.602,1,0,0,456093,65108
1000,0,0.00,746,0,2.189,0,0,0,0,312
10000,0,12.02,559923,0,5.298,0,0,0,383739,52515
1001,0,0.00,645,0,1.634,0,0,0,0,208
1002,0,16.78,636667,0,4.953,1,0,0,528515,62288
1003,0,54.63,661493,0,5.118,1,0,0,1716108,63674
1004,0,14.15,668608,0,4.342,1,0,0,370402,64727
1005,0,11.66,663435,0,4.857,1,0,0,322024,64442
1006,0,20.82,657181,0,5.345,1,0,0,648557,63436
1007,0,24.91,664072,0,4.804,1,0,0,742202,64455
1008,0,18.30,669966,0,3.889,1,0,0,518995,64771
1009,0,12.90,656941,0,4.693,1,0,0,349715,63354
101,0,28.91,658636,0,5.224,1,0,0,970724,63597
1010,0,11.81,670595,0,5.217,1,0,0,390908,64707
1011,0,13.11,673576,0,4.164,1,0,0,346480,65321
1012,0,12.53,669920,0,4.336,1,0,0,332319,64893
1013,0,3.26,661045,0,4.005,1,0,0,108572,64226
1014,0,16.45,668361,0,4.354,1,0,0,505381,64807
1015,0,28.27,650286,0,5.428,1,0,0,828608,62487
1016,0,23.13,674200,0,3.872,1,0,0,778317,65136
1017,0,87.39,672295,0,4.426,1,0,0,2382767,65187
1018,0,26.01,659784,0,5.443,1,0,0,908647,63874
1019,0,10.15,654585,0,4.643,1,0,0,185407,63272
102,0,0.00,544,0,2.731,0,0,0,0,104
1020,0,6.05,672521,0,3.951,1,0,0,217688,65111
1021,0,66.61,675859,0,4.322,1,0,0,1966360,65361
1022,0,17.84,664799,0,3.816,1,0,0,538158,64135
1023,0,25.82,664482,0,4.4,1,0,0,730712,64467
1024,0,0.00,544,0,3.571,0,0,0,0,104
1025,0,56.06,648822,0,4.169,1,0,0,1699051,63233
1026,0,46.23,666672,0,3.997,1,0,0,1419187,64105
1027,0,0.00,544,0,2.492,0,0,0,0,104
1028,0,11.34,669407,0,4.52,1,0,0,352086,65216
1029,0,5.77,668342,0,4.545,1,0,0,174363,64788
103,0,25.26,674758,0,4.483,1,0,0,826472,65751
1030,0,34.79,663791,0,4.711,1,0,0,1178039,64378
1031,0,19.98,676322,0,4.058,1,0,0,601838,65342
1032,0,0.17,626183,0,6.017,0,0,0,3046,57474
1033,0,233.15,641860,0,4.922,0,0,0,5470928,61446
1034,0,13.58,672842,0,4.837,1,0,0,308132,65207
1035,0,26.84,654833,0,4.463,1,0,0,823939,63849
1036,0,36.02,668988,0,3.935,1,0,0,1221414,64800
1037,0,31.88,665214,0,4.415,1,0,0,1131749,64333
1038,0,11.87,676030,0,4.359,1,0,0,262361,65506
1039,0,35.51,658117,0,4.53,1,0,0,1350569,63788
104,0,11.78,668831,0,4.821,1,0,0,310324,65023
1040,0,43.86,657424,0,5.069,1,0,0,1444820,63420
1041,0,37.75,662776,0,4.369,1,0,0,1120657,63678
1042,0,65.54,657901,0,4.827,1,0,0,1830319,63557
1043,0,68.89,669291,0,5.24,1,0,0,2182650,64681
1044,0,2.99,485506,0,4.93,0,0,0,115238,46227
1045,0,35.50,646704,0,4.055,1,0,0,1103753,63166
1046,0,19.81,657947,0,5.147,1,0,0,535414,63244
1047,0,19.77,662488,0,5.727,1,0,0,565927,64353
1048,0,73.18,660024,0,4.984,1,0,0,2224603,64204
1049,0,28.07,664058,0,4.741,1,0,0,945602,64382
105,0,42.30,658877,0,5.641,0,0,0,1262844,63755
1050,0,46.04,671314,0,4.473,1,0,0,1437665,64899
1051,0,60.39,661427,0,5.477,1,0,0,1934668,63872
1052,0,18.34,666615,0,3.994,1,0,0,554517,64579
1053,0,13.30,673315,0,4.45,1,0,0,348281,65183
1054,0,34.33,657592,0,5.215,1,0,0,1144597,63607
1055,0,34.46,667707,0,6.921,1,0,0,1047741,64429
1056,0,3.32,665792,0,4.25,1,0,0,115165,64739
1057,0,25.00,661822,0,5.379,1,0,0,689509,63354
1058,0,413.89,667315,0,5.385,0,0,0,8527207,64370
1059,0,15.88,671790,0,4.827,1,0,0,479214,65175
106,0,10.76,582675,0,6.149,0,0,0,334062,56801
1060,0,86.90,664429,0,4.815,1,0,0,2853658,64139
1061,0,31.60,670631,0,5.108,1,0,0,983867,65087
1062,0,36.34,661183,0,4.947,1,0,0,1305658,63254
1063,0,41.68,646961,0,4.831,1,0,0,1376686,62488
1064,0,20.62,665524,0,5.05,1,0,0,741116,64199
1065,0,59.99,669321,0,6.38,1,0,0,1769222,65029
1066,0,16.71,585150,0,5.602,0,0,0,582571,56341
1067,0,0.00,544,0,1.82,0,0,0,0,104
1068,0,30.56,667818,0,4.518,1,0,0,1050716,64551
1069,0,49.85,663959,0,5.005,1,0,0,1693908,64345
107,0,22.71,585433,0,6.413,0,0,0,741332,57323
1070,0,378.50,664756,0,4.69,0,0,0,8297187,64194
1071,0,11.35,663645,0,6.672,1,0,0,317549,64364
1072,0,33.49,669631,0,5.603,1,0,0,1117326,65106
1073,0,26.66,662402,0,4.841,1,0,0,855323,64328
1074,0,643.59,670894,0,6.098,0,0,0,11652866,64683
1075,0,59.21,653193,0,4.651,1,0,0,1813913,63229
1076,0,19.82,653185,0,6.272,1,0,0,613988,62857
1077,0,0.00,544,0,1.264,0,0,0,0,104
1078,0,35.87,672691,0,3.973,1,0,0,1051932,64983
1079,0,27.01,666702,0,4.889,1,0,0,768573,64606
108,0,57.38,659469,0,4.45,1,0,0,1642337,63649
1080,0,65.20,665278,0,5.24,1,0,0,1888257,64744
1081,0,3.54,531983,0,5.212,0,0,0,133612,51837
1082,0,13.41,664930,0,4.738,1,0,0,345232,64348
1083,0,27.80,660282,0,4.184,1,0,0,869035,63811
1084,0,23.98,674322,0,4.208,1,0,0,800991,65350
1085,0,13.92,667315,0,5.223,1,0,0,388010,65046
1086,0,17.36,658929,0,5.528,0,0,0,585760,63309
1087,0,18.38,666302,0,4.731,1,0,0,537796,64175
1088,0,30.77,655294,0,4.498,1,0,0,906855,63002
1089,0,13.18,661723,0,4.987,1,0,0,286682,63854
109,0,6.48,673290,0,6.268,1,0,0,163860,65123
1090,0,25.25,673336,0,5.836,1,0,0,842391,65244
1091,0,50.57,674158,0,4.795,1,0,0,1620561,65141
1092,0,3.29,662381,0,4.763,1,0,0,120748,63737
1093,0,12.63,662383,0,4.923,1,0,0,285526,64109
1094,0,12.18,661643,0,4.011,1,0,0,311399,63430
1095,0,19.58,670344,0,4.199,1,0,0,625395,64908
1096,0,50.07,662196,0,4.031,1,0,0,1704953,64340
1097,0,30.85,663893,0,5.408,1,0,0,910289,64201
1098,0,17.00,654405,0,4.977,1,0,0,446427,63807
1099,0,31.04,663929,0,4.838,1,0,0,905940,64355
11,0,24.79,653627,0,4.533,1,0,0,820548,63141
110,0,65.39,667237,0,4.923,1,0,0,1958061,64373
1100,0,5.62,665098,0,4.232,1,0,0,194248,64291
1101,0,29.48,653716,0,4.995,1,0,0,933955,63675
1102,0,17.82,655251,0,4.648,0,0,0,473315,63062
1103,0,24.16,659726,0,5.227,1,0,0,751804,63998
1104,0,18.98,677122,0,3.958,1,0,0,490150,65770
1105,0,50.48,626291,0,5.145,0,0,0,1503362,61419
1106,0,0.00,645,0,2.663,0,0,0,0,208
1107,0,60.02,660296,0,4.919,1,0,0,1687030,63543
1108,0,78.17,666564,0,4.85,1,0,0,2422765,64328
1109,0,63.90,659709,0,4.549,1,0,0,1930376,63493
111,0,62.60,672364,0,4.792,1,0,0,1783354,65359
1110,0,32.00,638818,0,5.631,1,0,0,1019222,62143
1111,0,19.98,662033,0,4.57,1,0,0,678096,63794
1112,0,19.31,664256,0,4.821,1,0,0,577438,64248
1113,0,0.00,645,0,1.674,0,0,0,0,208
1114,0,25.39,655220,0,5.054,1,0,0,765634,62508
1115,0,87.28,651330,0,4.456,1,0,0,2492036,63007
1116,0,28.74,667009,0,4.568,1,0,0,871723,64405
1117,0,11.25,663063,0,4.132,1,0,0,300777,64255
1118,0,40.40,653761,0,5.845,1,0,0,1344090,62499
1119,0,32.35,668586,0,4.125,1,0,0,1069108,64352
112,0,23.90,671351,0,4.401,1,0,0,792168,65054
1120,0,0.00,645,0,1.381,0,0,0,0,208
1121,0,33.81,668201,0,5.335,1,0,0,1050839,65157
1122,0,84.68,675631,0,4.367,1,0,0,2648255,65878
1123,0,31.61,675721,0,5.6,1,0,0,1128602,65393
1124,0,61.60,655398,0,4.092,1,0,0,1852080,62543
1125,0,116.79,650196,0,7.358,1,0,0,3177366,63202
1126,0,33.88,645516,0,6.07,1,0,0,1015358,62960
1127,0,20.36,669625,0,4.935,1,0,0,600984,64803
1128,0,13.00,670579,0,5.759,1,0,0,302849,65048
1129,0,30.59,669302,0,4.441,1,0,0,1004775,64406
113,0,17.27,665901,0,7.291,1,0,0,512786,64395
1130,0,36.54,673019,0,4.374,1,0,0,1284262,65081
1131,0,25.26,666301,0,4.068,1,0,0,866203,64165
1132,0,27.25,635118,0,4.728,1,0,0,845950,62220
1133,0,42.58,657979,0,5.443,1,0,0,1384188,63798
1134,0,13.84,660827,0,4.6,1,0,0,304252,64124
1135,0,57.14,650558,0,4.761,1,0,0,1781039,62807
1136,0,12.70,670992,0,5.238,1,0,0,353573,65059
1137,0,38.86,666396,0,6.252,1,0,0,1399755,64358
1138,0,6.08,669103,0,4.366,1,0,0,224213,64950
1139,0,9.18,562778,0,6.829,0,0,0,297753,52615
114,0,5.27,673963,0,4.4,1,0,0,174405,65189
1140,0,19.74,665995,0,4.415,1,0,0,544531,64677
1141,0,13.83,674767,0,4.039,1,0,0,362878,65282
1142,0,16.61,649483,0,4.985,1,0,0,463749,62843
1143,0,4.49,667926,0,4.293,1,0,0,145731,64326
1144,0,39.40,670488,0,4.148,1,0,0,1128257,64913
1145,0,17.68,662558,0,4.909,1,0,0,440812,64418
1146,0,9.39,672964,0,4.358,1,0,0,178104,65053
1147,0,21.62,661736,0,4.234,1,0,0,655230,63840
1148,0,27.79,653019,0,5.371,1,0,0,897786,63212
1149,0,13.81,663160,0,5.369,1,0,0,312017,64400
115,0,5.42,658173,0,4.027,1,0,0,175504,63694
1150,0,17.11,667516,0,4.708,1,0,0,475257,64443
1151,0,12.77,659598,0,4.067,1,0,0,368410,63285
1152,0,61.97,673046,0,4.454,1,0,0,1673318,65236
1153,0,30.93,671590,0,4.396,1,0,0,976974,64873
1154,0,13.08,670375,0,4.157,1,0,0,379196,64660
1155,0,29.53,669825,0,4.038,1,0,0,881100,64386
1156,0,81.22,649874,0,5.762,1,0,0,2676143,62673
1157,0,53.56,660964,0,6.019,1,0,0,1780815,63672
