seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
103576,0,0.08,179511,0,1.318,1,0,0,12926,41861
103802,0,0.08,187223,0,1.031,1,0,0,19086,42878
104134,0,0.00,3069,0,0.529,0,0,0,0,2680
105926,0,0.09,183226,0,1.11,1,0,0,15684,42204
106826,0,0.00,2968,0,0.521,0,0,0,0,2576
108379,0,0.09,189665,0,1.143,1,0,0,17362,42907
109036,0,0.06,185933,0,1.119,1,0,0,7491,42702
109079,0,0.00,3069,0,0.674,0,0,0,0,2680
109388,0,0.00,2968,0,0.58,0,0,0,0,2576
111534,0,0.06,186251,0,1.186,1,0,0,10933,42253
111614,0,0.08,188165,0,1.256,1,0,0,12360,42813
111631,0,0.07,182106,0,1.183,1,0,0,11229,42461
111741,0,0.00,2968,0,0.535,0,0,0,0,2576
112229,0,0.07,182259,0,1.203,1,0,0,13516,42073
112629,0,0.08,185765,0,1.121,1,0,0,19044,42122
112864,0,1.28,187651,0,1.141,0,0,0,81134,42602
114705,0,0.05,183259,0,1.112,1,0,0,6714,41710
115890,0,0.07,187466,0,1.135,1,0,0,8489,42560
117249,0,0.00,2968,0,0.547,0,0,0,0,2576
118330,0,0.00,2968,0,0.726,0,0,0,0,2576
118370,0,0.00,3069,0,0.627,0,0,0,0,2680
118463,0,0.00,2968,0,0.687,0,0,0,0,2576
120731,0,0.00,3069,0,0.622,0,0,0,0,2680
121859,0,0.06,172824,0,1.157,1,0,0,8210,39868
122267,0,0.00,3069,0,0.481,0,0,0,0,2680
124912,0,0.00,3069,0,0.588,0,0,0,0,2680
124982,0,0.00,2968,0,0.728,0,0,0,0,2576
125115,0,0.00,2968,0,0.644,0,0,0,0,2576
126056,0,0.06,183473,0,1.244,1,0,0,6398,42133
129067,0,0.00,2968,0,0.537,0,0,0,0,2576
130035,0,0.00,3069,0,0.673,0,0,0,0,2680
130451,0,0.07,190646,0,1.09,1,0,0,8049,42991
131206,0,0.09,188142,0,1.219,1,0,0,36433,42517
132473,0,0.06,175626,0,1.109,1,0,0,7770,41127
132588,0,0.00,2968,0,0.612,0,0,0,0,2576
133352,0,0.00,3170,0,0.769,0,0,0,0,2784
133796,0,0.00,2968,0,0.567,0,0,0,0,2576
134652,0,0.00,2968,0,0.79,0,0,0,0,2576
135080,0,0.09,178196,0,1.194,1,0,0,22135,41228
135635,0,0.08,184512,0,1.168,1,0,0,17505,41931
136208,0,0.06,187279,0,1.219,1,0,0,7426,42870
13689,0,0.08,189849,0,1.137,1,0,0,19752,42957
137751,0,0.09,184284,0,1.241,1,0,0,15954,42403
139219,0,0.08,189049,0,1.413,1,0,0,18512,42923
144068,0,0.00,3069,0,0.729,0,0,0,0,2680
144684,0,0.06,170861,0,1.239,1,0,0,6942,40293
14491,0,0.07,189820,0,1.075,1,0,0,12166,43012
