seed,result,time (seconds)
1,unsolvable,0.675
2,unknown,1.434
3,unknown,1.209
4,unknown,1.237
5,unknown,1.389
6,unknown,1.174
7,unknown,1.458
8,unknown,1.326
9,unknown,1.217
10,unknown,1.248
11,unknown,1.44
12,unknown,1.139
13,unknown,1.382
14,unknown,1.293
15,unsolvable,0.514
16,unknown,1.372
17,unknown,1.321
18,unknown,1.343
19,unknown,1.347
20,unknown,1.112
21,unsolvable,1.489
22,unsolvable,0.582
23,unknown,1.594
24,unknown,1.165
25,unknown,1.559
26,unknown,1.268
27,unknown,1.145
28,unknown,1.325
29,unsolvable,2.122
30,unknown,1.275
31,unknown,1.322
32,unknown,1.235
33,unsolvable,0.565
34,unknown,1.341
35,unknown,1.229
36,unknown,1.272
37,unknown,1.241
38,unknown,1.17
39,unsolvable,0.72
40,unsolvable,0.499
41,unknown,1.328
42,unknown,1.175
43,unsolvable,0.787
44,unknown,1.249
45,unsolvable,2.609
46,unknown,1.263
47,unknown,1.276
48,unknown,1.489
49,unknown,1.193
50,unknown,1.455
51,unsolvable,11.618
52,unknown,1.17
53,unknown,1.168
54,unknown,1.255
55,unknown,1.277
56,unknown,1.329
57,unknown,1.338
58,unknown,1.476
59,unsolvable,6.014
60,unknown,1.21
61,unknown,1.197
62,unknown,1.378
63,unknown,1.221
64,unknown,1.178
65,unknown,1.283
66,unknown,1.36
67,unknown,1.223
68,unknown,1.271
69,unknown,1.27
70,unsolvable,3.489
71,unknown,1.161
72,unknown,1.795
73,unsolvable,6.111
74,unknown,1.571
75,unknown,1.217
76,unknown,1.188
77,unknown,1.175
78,unsolvable,0.741
79,unknown,1.438
80,unknown,1.216
81,unknown,1.31
82,unknown,1.186
83,unknown,1.216
84,unknown,1.332
85,unknown,1.098
86,unknown,1.143
87,unknown,1.427
88,unsolvable,0.771
89,unknown,1.322
90,unknown,1.278
91,unknown,1.259
92,unknown,1.407
93,unsolvable,1.998
94,unknown,2.117
95,unknown,1.366
96,unknown,1.692
97,unknown,1.267
98,unknown,1.38
99,unknown,1.33
100,unknown,1.305
101,unknown,1.269
102,unsolvable,0.868
103,unknown,1.303
104,unknown,1.207
105,unsolvable,12.563
106,unsolvable,2.371
107,unsolvable,6.994
108,unknown,1.343
109,unknown,1.192
110,unknown,1.301
111,unknown,1.269
112,unknown,1.308
113,unknown,1.187
114,unknown,1.432
115,unknown,1.158
116,unsolvable,3.794
117,unknown,1.241
118,unknown,1.347
119,unknown,1.285
120,unknown,1.527
121,unknown,1.364
122,unknown,1.331
123,unknown,1.471
124,unsolvable,0.878
125,unknown,1.323
126,unknown,1.174
127,unknown,1.294
128,unknown,1.462
129,unknown,1.58
130,unknown,1.109
131,unknown,1.636
132,unknown,1.291
133,unknown,1.393
134,unknown,1.366
135,unknown,1.32
136,unknown,1.209
137,unknown,1.169
138,unknown,1.203
139,unsolvable,1.143
140,unknown,1.21
141,unknown,1.49
142,unsolvable,1.69
143,unsolvable,1.771
144,unknown,1.207
145,unsolvable,0.623
146,unknown,1.215
147,unknown,1.241
148,unknown,1.253
149,unknown,1.572
150,unknown,1.203
151,unknown,1.299
152,unknown,1.403
153,unsolvable,1.402
154,unknown,1.238
155,unknown,1.256
156,unsolvable,2.623
157,unknown,1.335
158,unknown,1.303
159,unknown,1.492
160,unknown,1.445
161,unknown,1.575
162,unknown,1.268
163,unknown,1.144
164,unknown,1.22
165,unknown,1.139
166,unknown,1.295
167,unknown,1.407
168,unknown,1.29
169,unknown,1.209
170,unknown,1.368
171,unknown,1.209
172,unknown,1.495
173,unknown,1.557
174,unknown,1.222
175,unknown,1.299
176,unknown,1.158
177,unknown,1.394
178,unknown,1.311
179,unknown,1.146
180,unknown,1.287
181,unsolvable,0.694
182,unknown,1.53
183,unknown,1.68
184,unknown,1.153
185,unknown,1.233
186,unknown,1.511
187,unknown,1.529
188,unknown,1.428
189,unknown,1.585
190,unknown,1.126
191,unknown,1.251
192,unknown,1.282
193,unknown,1.216
194,unknown,1.677
195,unknown,1.435
196,unknown,1.309
197,unknown,1.197
198,unknown,1.295
199,unknown,1.2
200,unknown,1.291
201,unknown,1.234
202,unknown,1.265
203,unknown,1.233
204,unknown,1.221
205,unknown,1.37
206,unknown,1.247
207,unknown,1.2
208,unknown,1.208
209,unknown,1.147
210,unknown,1.602
211,unknown,1.457
212,unknown,1.219
213,unsolvable,0.948
214,unknown,1.204
215,unknown,1.292
216,unknown,1.355
217,unknown,1.206
218,unknown,1.329
219,unknown,1.425
220,unknown,1.185
221,unknown,1.378
222,unknown,1.521
223,unsolvable,1.151
224,unknown,1.772
225,unknown,1.226
226,unknown,1.235
227,unknown,1.44
228,unknown,1.291
229,unknown,1.428
230,unknown,1.279
231,unknown,1.21
232,unknown,1.477
233,unknown,1.155
234,unknown,1.32
235,unknown,1.265
236,unknown,1.241
237,unknown,1.384
238,unknown,1.306
239,unsolvable,0.692
240,unknown,1.332
241,unknown,1.163
242,unknown,1.308
243,unknown,1.319
244,unknown,1.355
245,unknown,1.36
246,unknown,1.142
247,unknown,1.225
248,unknown,1.425
249,unknown,1.269
250,unknown,1.218
251,unknown,1.954
252,unknown,1.254
253,unknown,1.254
254,unknown,1.734
255,unknown,1.383
256,unsolvable,1.471
257,unknown,1.4
258,unknown,1.493
259,unknown,1.378
260,unknown,1.585
261,unknown,1.271
262,unknown,1.384
263,unknown,1.129
264,unknown,1.237
265,unsolvable,2.378
266,unknown,1.236
267,unknown,1.262
268,unknown,1.224
269,unknown,1.438
270,unknown,1.618
271,unknown,1.244
272,unknown,1.204
273,unknown,1.299
274,unknown,1.213
275,unknown,1.454
276,unknown,1.353
277,unknown,1.322
278,unknown,1.112
279,unknown,1.167
280,unknown,1.38
281,unknown,1.424
282,unsolvable,8.736
283,unknown,1.446
284,unknown,1.231
285,unknown,1.221
286,unknown,1.455
287,unknown,1.318
288,unknown,1.194
289,unknown,1.092
290,unknown,1.375
291,unknown,1.55
292,unknown,1.131
293,unknown,1.131
294,unknown,1.295
295,unknown,1.379
296,unknown,1.303
297,unknown,1.242
298,unknown,1.285
299,unknown,1.342
300,unknown,1.481
301,unknown,1.374
302,unknown,1.253
303,unknown,1.278
304,unknown,1.462
305,unknown,1.273
306,unknown,1.305
307,unsolvable,1.538
308,unknown,1.361
309,unknown,1.326
310,unknown,1.22
311,unknown,1.31
312,unsolvable,0.475
313,unknown,1.816
314,unknown,1.41
315,unknown,1.531
316,unknown,1.209
317,unknown,1.268
318,unknown,1.378
319,unknown,1.552
320,unknown,1.419
321,unknown,1.448
322,unknown,1.18
323,unsolvable,10.266
324,unknown,1.221
325,unknown,1.15
326,unknown,1.379
327,unknown,1.131
328,unknown,1.289
329,unsolvable,0.626
330,unknown,1.372
331,unknown,1.148
332,unknown,1.392
333,unknown,1.171
334,unknown,1.297
335,unknown,1.327
336,unsolvable,0.528
337,unknown,1.261
338,unknown,1.208
339,unknown,1.384
340,unknown,1.415
341,unknown,1.499
342,unknown,1.351
343,unknown,1.3
344,unknown,1.291
345,unknown,1.16
346,unknown,1.203
347,unknown,1.445
348,unknown,1.365
349,unknown,1.191
350,unknown,1.407
351,unknown,1.384
352,unknown,1.271
353,unknown,1.235
354,unknown,1.329
355,unknown,1.37
356,unknown,1.224
357,unknown,1.131
358,unknown,1.249
359,unknown,1.498
360,unknown,1.302
361,unsolvable,0.838
362,unknown,1.224
363,unknown,1.247
364,unknown,1.143
365,unknown,1.268
366,unknown,1.233
367,unknown,1.397
368,unknown,1.285
369,unknown,1.19
370,unknown,1.393
371,unknown,1.18
372,unknown,1.258
373,unknown,1.226
374,unknown,1.437
375,unknown,1.197
376,unknown,1.387
377,unknown,1.278
378,unknown,1.493
379,unknown,1.334
380,unsolvable,0.857
381,unknown,1.378
382,unknown,1.154
383,unknown,1.349
384,unknown,1.319
385,unknown,1.255
386,unknown,1.221
387,unknown,1.369
388,unknown,1.216
389,unknown,1.397
390,unknown,1.305
391,unknown,1.339
392,unknown,1.597
393,unknown,1.305
394,unknown,1.258
395,unknown,1.175
396,unknown,1.357
397,unknown,1.306
398,unknown,1.26
399,unknown,1.237
400,unknown,1.21
401,unknown,1.327
402,unknown,1.497
403,unsolvable,8.287
404,unknown,1.595
405,unknown,1.295
406,unknown,1.72
407,unknown,1.199
408,unknown,1.153
409,unknown,1.458
410,unknown,1.154
411,unknown,1.138
412,unknown,1.274
413,unknown,1.273
414,unknown,1.261
415,unsolvable,0.607
416,unknown,1.158
417,unknown,1.283
418,unknown,1.217
419,unknown,1.623
420,unknown,1.317
421,unknown,1.349
422,unsolvable,5.653
423,unknown,1.297
424,unknown,1.163
425,unknown,1.278
426,unknown,1.468
427,unknown,1.552
428,unknown,1.094
429,unknown,1.304
430,unknown,1.444
431,unknown,1.292
432,unknown,1.297
433,unknown,1.18
434,unknown,1.29
435,unknown,1.217
436,unknown,1.323
437,unsolvable,5.495
438,unknown,1.287
439,unknown,1.317
440,unknown,1.259
441,unknown,1.13
442,unknown,1.219
443,unknown,1.215
444,unknown,1.177
445,unknown,1.11
446,unknown,1.465
447,unknown,1.198
448,unknown,1.359
449,unknown,1.321
450,unknown,1.281
451,unknown,1.441
452,unsolvable,2.455
453,unknown,1.302
454,unknown,1.294
455,unknown,1.328
456,unknown,1.375
457,unknown,1.349
458,unknown,1.241
459,unknown,1.141
460,unknown,1.256
461,unknown,1.125
462,unsolvable,0.743
463,unknown,1.251
464,unknown,1.461
465,unknown,1.227
466,unknown,1.236
467,unknown,1.446
468,unknown,1.24
469,unknown,1.169
470,unknown,1.266
471,unknown,1.245
