seed,result,time(seconds)
1,unsolvable,0.82
2,solved,0.01
3,solved,9.19
4,solved,0.01
5,solved,0.03
6,solved,0.07
7,solved,0.06
8,solved,8.66
9,solved,0
10,solved,0.2
11,solved,0.09
12,solved,0
13,solved,0
14,solved,0
15,unsolvable,192.7
16,solved,1.41
17,solved,0
18,solved,0
19,unsolvable,0
20,solved,0
21,unsolvable,0
22,unknown,44921.17
23,solved,0
24,solved,0
25,solved,0
26,solved,3.66
27,solved,0.58
28,solved,0.03
29,unsolvable,0
30,solved,0
31,unsolvable,53.37
32,solved,0
33,unsolvable,160.01
34,solved,0.33
35,solved,0.32
36,solved,5.25
37,solved,0.51
38,solved,0.22
39,unsolvable,482.63
40,unsolvable,0
41,solved,0
42,solved,0.03
43,unsolvable,1.08
44,solved,0
45,unsolvable,0.01
46,solved,0
47,solved,0
48,solved,6.2
49,solved,0.01
50,solved,0
51,unsolvable,0
52,solved,0
53,solved,7.92
54,solved,2.84
55,solved,0.03
56,solved,1.93
57,solved,0
58,solved,0.2
59,unsolvable,0
60,solved,2.84
61,solved,0
62,solved,0.35
63,solved,0
64,solved,0
65,solved,0
66,unsolvable,16.25
67,solved,0
68,solved,0
69,solved,0
70,unsolvable,0
71,solved,0
72,solved,2.17
73,unsolvable,0
74,unsolvable,3.83
75,solved,0.03
76,solved,0.21
77,solved,0
78,unsolvable,14.09
79,unsolvable,1.15
80,solved,0
81,unsolvable,0.38
82,solved,33.42
83,solved,0.01
84,solved,0
85,solved,0
86,solved,0
87,solved,0.1
88,unsolvable,0.15
89,solved,0.02
90,unsolvable,162.53
91,solved,0.05
92,solved,0.97
93,unsolvable,0.01
94,solved,0
95,solved,0
96,solved,0
97,solved,0.02
98,solved,0.4
99,solved,0
100,solved,0.01
101,unsolvable,0.35
102,unsolvable,0.03
103,solved,0.06
104,solved,0.06
105,unsolvable,0
106,unsolvable,0
107,unsolvable,0
108,solved,8.91
109,solved,0
110,solved,5.63
111,solved,0.04
112,solved,0.19
