Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1716042280.157	     0.057	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 0 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
3	:	1716042280.215	     0.032	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 2 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
5	:	1716042280.280	     0.062	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 4 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
6	:	1716042280.311	     0.057	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 5 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
7	:	1716042280.342	     0.098	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 6 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
8	:	1716042280.369	     0.071	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 7 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
10	:	1716042280.416	     0.024	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 9 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
13	:	1716042280.497	     0.028	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 12 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
14	:	1716042280.525	     0.023	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 13 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
12	:	1716042280.470	     0.105	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str smart-solvability --ra 11 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/shared/solvitaire-expts/klondike-smart/smart-klondike-3600000-smart-solvability--2b4VwZ.csv
