seed,result,time (seconds)
1,unsolvable,0.712
2,solved,0.005
3,solved,7.385
4,solved,0.013
5,solved,0.03
6,solved,0.06
7,solved,0.05
8,solved,6.706
9,solved,0.002
10,solved,0.17
11,solved,0.077
12,solved,0
13,solved,0
14,solved,0.002
15,unsolvable,156.173
16,solved,1.155
17,solved,0.005
18,solved,0
19,unsolvable,0.004
20,solved,0
21,unsolvable,0
22,unknown,3960
23,solved,0
24,solved,0
25,solved,0
26,solved,2.898
27,solved,0.455
28,solved,0.029
29,unsolvable,0
30,solved,0
31,unsolvable,42.686
32,solved,0.007
33,unsolvable,125.884
34,solved,0.263
35,solved,0.258
36,solved,4.118
37,solved,0.406
38,solved,0.178
39,unsolvable,389.821
40,unsolvable,0
41,solved,0.003
42,solved,0.029
43,unsolvable,0.881
44,solved,0
45,unsolvable,0.014
46,solved,0
47,solved,0
48,solved,4.815
49,solved,0.008
50,solved,0
51,unsolvable,0
52,solved,0
53,solved,6
54,solved,2.168
55,solved,0.026
56,solved,1.493
57,solved,0
58,solved,0.157
59,unsolvable,0
60,solved,2.241
61,solved,0
62,solved,0.286
63,solved,0
64,solved,0.004
65,solved,0
66,unsolvable,13.549
67,solved,0
68,solved,0
69,solved,0
70,unsolvable,0
71,solved,0.005
72,solved,1.665
73,unsolvable,0
74,unsolvable,3.063
75,solved,0.028
76,solved,0.174
77,solved,0
78,unsolvable,11.29
79,unsolvable,0.947
80,solved,0
81,unsolvable,0.305
82,solved,26.021
83,solved,0.012
84,solved,0
85,solved,0
86,solved,0
87,solved,0.081
88,unsolvable,0.122
89,solved,0.016
90,unsolvable,131.865
91,solved,0.045
92,solved,0.764
93,unsolvable,0.007
94,solved,0
95,solved,0
96,solved,0
97,solved,0.019
98,solved,0.322
99,solved,0
100,solved,0.007
101,unsolvable,0.294
102,unsolvable,0.029
103,solved,0.051
104,solved,0.047
105,unsolvable,0
106,unsolvable,0.002
107,unsolvable,0
108,solved,6.898
109,solved,0
110,solved,4.403
111,solved,0.03
112,solved,0.151
113,solved,0.004
114,solved,0.016
115,solved,163.243
116,unsolvable,0.186
117,solved,1.157
118,solved,0
119,solved,0.004
120,solved,0
121,unsolvable,0.049
122,solved,0.001
123,solved,0.046
124,unsolvable,0
125,unsolvable,193.837
126,solved,1.106
127,solved,0.034
128,solved,0.004
129,solved,0.094
130,solved,0.001
131,unsolvable,0.495
132,solved,0.071
133,solved,0
134,solved,0.006
135,solved,23.427
136,solved,3.841
137,solved,7.597
138,solved,0
139,unsolvable,0.026
140,solved,0.002
141,solved,0.001
142,unsolvable,0
143,unsolvable,0.168
144,solved,0.001
145,unsolvable,0
146,solved,0.002
147,solved,0
148,unsolvable,6.519
149,solved,0.005
150,solved,0.01
151,solved,0
152,solved,0.197
153,unsolvable,0.008
154,solved,0
155,solved,28.352
156,unsolvable,0.443
157,solved,0
158,solved,0
159,solved,0
160,solved,4.672
161,solved,0
162,solved,0.005
163,solved,0.83
164,solved,1.066
165,solved,0.001
166,solved,0
167,solved,0.005
168,solved,0.005
169,solved,0.009
170,solved,1.541
171,solved,0
172,solved,0.015
173,solved,0
174,solved,0.005
175,solved,0.001
176,solved,0.002
177,solved,0.002
178,solved,0.022
179,solved,0.009
180,solved,0.038
181,unsolvable,7.691
182,solved,21.154
183,solved,0
184,solved,0
185,solved,0
186,solved,0.009
187,solved,6.639
188,solved,0.126
189,solved,0.006
190,solved,0
191,solved,0
192,solved,0.08
193,solved,0.007
194,solved,0.407
195,unsolvable,0.155
196,solved,0
197,solved,0
198,solved,0.008
199,solved,1.72
200,solved,0.431
201,unsolvable,1.319
202,solved,0.012
203,solved,0.195
204,solved,0
205,solved,0.001
206,solved,0.435
207,solved,0
208,solved,0.002
209,solved,0
210,solved,0.022
211,solved,0.237
212,solved,0.008
213,unsolvable,33.839
214,solved,0.128
215,solved,0.003
216,solved,0.567
217,solved,0.001
218,solved,0.003
219,solved,5.037
220,unsolvable,0.176
221,solved,0
222,solved,0.096
223,unsolvable,0
224,solved,0
225,solved,0.001
226,solved,0.009
227,solved,0.041
228,solved,0
229,solved,0
230,solved,0
231,solved,0.043
232,solved,0
233,solved,0
234,solved,0.519
235,solved,0.192
236,solved,0
237,unsolvable,4.525
238,solved,0.001
239,unsolvable,0.13
240,solved,1.394
241,solved,0
242,solved,0.027
243,unsolvable,51.114
244,solved,0.009
245,solved,0.004
246,solved,0
247,solved,0
248,unsolvable,0.261
249,solved,0.118
250,solved,0
251,solved,0.03
252,solved,0.001
253,solved,0.075
254,solved,0.01
255,solved,0.033
256,unsolvable,0.11
257,solved,0.17
258,solved,0.076
259,solved,0.12
260,solved,0.094
261,solved,0
262,solved,0.016
263,unsolvable,235.088
264,solved,2.626
265,unsolvable,0
266,solved,0
267,solved,0.572
268,solved,0.013
269,solved,0
270,solved,1.516
271,solved,0.014
272,solved,0.035
273,solved,0.063
274,solved,0
275,solved,0
276,solved,0
277,unsolvable,17.985
278,solved,0.139
279,solved,0.001
280,unsolvable,0.399
281,solved,0.001
282,unsolvable,0.013
283,unsolvable,0.003
284,solved,2.077
285,solved,0.063
286,solved,0
287,solved,1.975
288,solved,0.034
289,solved,0.575
290,solved,0.019
291,solved,0
292,solved,48.45
293,solved,0
294,unsolvable,606.82
295,solved,0.408
296,solved,0
297,solved,0.027
298,solved,0.006
299,solved,0
300,solved,0.005
301,solved,0
302,solved,0.001
303,unsolvable,21.487
304,solved,0
305,solved,0.054
306,solved,0
307,unsolvable,0.002
308,solved,0.001
309,solved,1.36
310,solved,0.007
311,solved,0.03
312,unsolvable,15.033
313,solved,0.064
314,solved,0
315,solved,0
316,solved,0.003
317,solved,0
318,solved,2.675
319,unsolvable,0
320,solved,0
321,solved,0.509
322,unsolvable,5.857
323,unsolvable,98.944
324,solved,0.002
325,solved,26.079
326,unsolvable,21.341
327,solved,0.006
328,solved,0.017
329,unsolvable,0.456
330,solved,0.005
331,unsolvable,13.299
332,solved,0
333,solved,0.01
334,solved,0.023
335,solved,0.005
336,unsolvable,102.995
337,solved,0
338,solved,0
339,solved,0
340,solved,0.014
341,solved,0.019
342,solved,0
343,solved,0.025
344,solved,0
345,solved,0
346,solved,0.015
347,solved,0.148
348,solved,0.002
349,solved,0.066
350,solved,0.024
351,solved,0.063
352,solved,0.45
353,solved,0
354,solved,0
355,solved,0.001
356,solved,0
357,solved,0.042
358,solved,0.001
359,solved,0.337
360,solved,58.195
361,unsolvable,0.851
362,solved,2.931
363,solved,17.869
364,unsolvable,61.163
365,solved,2.021
366,solved,0.001
367,solved,1.243
368,solved,6.875
369,solved,0
370,solved,0
371,solved,0.001
372,solved,0
373,unsolvable,0.271
374,solved,0
375,solved,0
376,solved,0
377,solved,0.002
378,solved,0
379,solved,0
380,unsolvable,16.642
381,solved,0
382,solved,0
383,solved,0
384,solved,0.002
385,solved,0.002
386,solved,0
387,solved,0.701
388,solved,0
389,solved,0.612
390,solved,13.484
391,solved,0.004
392,solved,0.003
393,solved,0.776
394,unsolvable,0.097
395,solved,0.781
396,solved,0
397,solved,0.012
398,unsolvable,20.727
399,solved,0.023
400,solved,0.193
401,solved,0.22
402,solved,0
403,unsolvable,0
404,solved,0.149
405,solved,0.224
406,solved,1.519
407,solved,0.001
408,solved,0
409,unsolvable,44.636
410,solved,0
411,solved,0.661
412,solved,0
413,solved,0
