0, solved, 0, 241, 158, 151, 50, 0, 108, 193, 90, 90, solved, 0.04, 0.00, 0.00, 1200
2, solved, 5, 1754, 782, 1661, 45, 0, 737, 769, 93, 93, solved, 0.00, 0.00, 0.00, 1396
4, solved, 14, 6628, 3285, 6532, 1874, 0, 1411, 1543, 96, 96, solved, 0.01, 0.01, 0.00, 1604
5, solved, 29, 11015, 5127, 10923, 1916, 0, 3211, 6151, 92, 92, solved, 0.03, 0.02, 0.00, 2104
6, solved, 56, 26612, 9293, 26534, 2722, 0, 6571, 12289, 79, 78, solved, 0.06, 0.05, 0.00, 3164
7, solved, 50, 19519, 6630, 19428, 1464, 0, 5166, 6151, 91, 91, solved, 0.05, 0.05, 0.00, 2848
9, solved, 2, 1271, 238, 1191, 85, 0, 153, 193, 80, 80, solved, 0.00, 0.00, 0.00, 1216
12, solved, 0, 80, 79, 4, 37, 0, 42, 53, 76, 76, solved, 0.00, 0.00, 0.00, 1180
13, solved, 0, 133, 88, 52, 43, 0, 45, 53, 81, 81, solved, 0.00, 0.00, 0.00, 1176
1, unsolvable, 295, 129918, 59663, 129917, 18452, 0, 41211, 49157, 23, 0, unsolvable, 0.32, 0.31, 0.00, 14804
11, unsolvable, 73, 35779, 17453, 35778, 9880, 0, 7573, 12289, 22, 0, unsolvable, 0.07, 0.07, 0.00, 3692
14, solved, 2, 1610, 512, 1529, 286, 0, 226, 389, 81, 81, solved, 0.00, 0.00, 0.00, 1232
10, solved, 167, 70066, 23789, 69976, 6840, 0, 16949, 24593, 90, 90, solved, 0.17, 0.17, 0.00, 6568
17, solved, 4, 4113, 2083, 4030, 1693, 0, 390, 769, 83, 83, solved, 0.00, 0.00, 0.00, 1280
18, solved, 0, 117, 83, 34, 42, 0, 41, 53, 83, 83, solved, 0.00, 0.00, 0.00, 1176
19, unsolvable, 2, 869, 438, 868, 119, 0, 319, 389, 11, 0, unsolvable, 0.00, 0.00, 0.00, 1248
20, solved, 0, 153, 108, 74, 51, 0, 57, 97, 79, 79, solved, 0.00, 0.00, 0.00, 1184
21, unsolvable, 0, 41, 30, 40, 0, 0, 30, 53, 4, 0, unsolvable, 0.00, 0.00, 0.00, 1176
23, solved, 0, 130, 103, 52, 46, 0, 57, 97, 78, 78, solved, 0.00, 0.00, 0.00, 1180
24, solved, 0, 135, 88, 57, 44, 0, 44, 53, 78, 78, solved, 0.00, 0.00, 0.00, 1180
25, solved, 0, 473, 263, 395, 133, 0, 130, 193, 78, 78, solved, 0.00, 0.00, 0.00, 1200
29, unsolvable, 0, 2, 2, 1, 1, 0, 1, 53, 1, 0, unsolvable, 0.00, 0.00, 0.00, 1176
28, solved, 29, 13053, 4342, 12970, 1197, 0, 3145, 6151, 83, 83, solved, 0.03, 0.03, 0.00, 2108
30, solved, 0, 184, 130, 107, 51, 0, 79, 97, 77, 77, solved, 0.00, 0.00, 0.00, 1188
32, solved, 7, 3293, 1489, 3202, 488, 0, 1001, 1543, 91, 91, solved, 0.01, 0.00, 0.00, 1448
40, unsolvable, 0, 160, 88, 159, 0, 0, 88, 97, 7, 0, unsolvable, 0.00, 0.00, 0.00, 1180
41, solved, 3, 2216, 487, 2134, 225, 0, 262, 389, 82, 82, solved, 0.00, 0.00, 0.00, 1240
42, solved, 29, 16809, 7523, 16730, 4254, 0, 3269, 6151, 79, 79, solved, 0.03, 0.03, 0.00, 2248
27, solved, 454, 202816, 79503, 202733, 33790, 0, 45713, 49157, 83, 83, solved, 0.48, 0.47, 0.00, 16120
34, solved, 266, 154614, 78263, 154538, 46088, 0, 32175, 49157, 76, 76, solved, 0.28, 0.27, 0.00, 11632
35, solved, 252, 111406, 37373, 111324, 12138, 0, 25235, 49157, 82, 82, solved, 0.26, 0.25, 0.00, 9520
44, solved, 0, 358, 139, 273, 79, 0, 60, 97, 85, 85, solved, 0.00, 0.00, 0.00, 1180
38, solved, 178, 88479, 32564, 88400, 12824, 0, 19740, 24593, 79, 79, solved, 0.19, 0.18, 0.00, 7624
45, unsolvable, 6, 2333, 1230, 2332, 317, 0, 913, 1543, 13, 0, unsolvable, 0.00, 0.00, 0.00, 1452
46, solved, 0, 254, 154, 172, 42, 0, 112, 193, 82, 82, solved, 0.00, 0.00, 0.00, 1196
47, solved, 0, 278, 94, 195, 41, 0, 53, 53, 83, 83, solved, 0.00, 0.00, 0.00, 1176
49, solved, 8, 3902, 1483, 3831, 489, 0, 994, 1543, 71, 71, solved, 0.01, 0.00, 0.00, 1472
50, solved, 0, 126, 91, 42, 42, 0, 49, 53, 84, 84, solved, 0.00, 0.00, 0.00, 1180
37, solved, 422, 215527, 69958, 215440, 37155, 0, 32803, 49157, 87, 87, solved, 0.44, 0.40, 0.02, 11896
51, unsolvable, 0, 20, 15, 19, 1, 0, 14, 53, 8, 0, unsolvable, 0.00, 0.00, 0.00, 1172
52, solved, 0, 423, 301, 346, 162, 0, 139, 193, 77, 77, solved, 0.00, 0.00, 0.00, 1204
43, unsolvable, 348, 148776, 53212, 148775, 16518, 0, 36694, 49157, 20, 0, unsolvable, 0.37, 0.36, 0.00, 13740
55, solved, 26, 9662, 4566, 9581, 1410, 0, 3156, 6151, 81, 81, solved, 0.02, 0.02, 0.00, 2108
57, solved, 0, 153, 84, 69, 41, 0, 43, 53, 84, 84, solved, 0.00, 0.00, 0.00, 1180
16, solved, 1151, 766931, 289433, 766862, 180567, 0, 108866, 196613, 69, 69, solved, 1.24, 1.20, 0.02, 37768
59, unsolvable, 0, 48, 39, 47, 1, 0, 38, 53, 5, 0, unsolvable, 0.00, 0.00, 0.00, 1172
61, solved, 0, 127, 98, 36, 42, 0, 56, 97, 91, 91, solved, 0.00, 0.00, 0.00, 1184
63, solved, 0, 158, 101, 74, 48, 0, 53, 53, 84, 84, solved, 0.00, 0.00, 0.00, 1180
58, solved, 156, 90062, 30980, 89982, 16446, 0, 14534, 24593, 80, 80, solved, 0.16, 0.16, 0.00, 5780
64, solved, 4, 1616, 609, 1527, 151, 0, 458, 769, 89, 89, solved, 0.00, 0.00, 0.00, 1292
65, solved, 0, 274, 128, 198, 74, 0, 54, 97, 76, 76, solved, 0.00, 0.00, 0.00, 1180
67, solved, 0, 208, 119, 120, 51, 0, 68, 97, 88, 88, solved, 0.00, 0.00, 0.00, 1188
68, solved, 0, 159, 107, 82, 36, 0, 71, 97, 77, 77, solved, 0.00, 0.00, 0.00, 1184
69, solved, 0, 112, 86, 27, 40, 0, 46, 53, 85, 85, solved, 0.00, 0.00, 0.00, 1180
70, unsolvable, 0, 52, 32, 51, 2, 0, 30, 53, 8, 0, unsolvable, 0.00, 0.00, 0.00, 1172
71, solved, 5, 2473, 1188, 2382, 486, 0, 702, 769, 91, 91, solved, 0.00, 0.00, 0.00, 1368
62, solved, 281, 186505, 42368, 186423, 23241, 0, 19127, 24593, 82, 82, solved, 0.29, 0.28, 0.00, 7368
73, unsolvable, 0, 135, 56, 134, 0, 0, 56, 97, 6, 0, unsolvable, 0.00, 0.00, 0.00, 1176
75, solved, 28, 14392, 5894, 14309, 2657, 0, 3237, 6151, 83, 83, solved, 0.03, 0.02, 0.00, 2248
77, solved, 0, 139, 97, 52, 51, 0, 46, 53, 87, 87, solved, 0.00, 0.00, 0.00, 1176
80, solved, 0, 440, 161, 344, 96, 0, 65, 97, 96, 96, solved, 0.00, 0.00, 0.00, 1188
79, unsolvable, 34, 15206, 6385, 15205, 2453, 0, 3932, 6151, 29, 0, unsolvable, 0.03, 0.03, 0.00, 2464
76, solved, 173, 76248, 35193, 76151, 13453, 0, 21740, 24593, 97, 97, solved, 0.18, 0.18, 0.00, 8152
83, solved, 12, 7265, 3992, 7180, 2517, 0, 1475, 1543, 85, 85, solved, 0.01, 0.01, 0.00, 1616
84, solved, 0, 116, 99, 28, 45, 0, 54, 97, 88, 88, solved, 0.00, 0.00, 0.00, 1184
81, unsolvable, 93, 38046, 17889, 38045, 5313, 0, 12576, 24593, 26, 0, unsolvable, 0.10, 0.09, 0.00, 5252
85, solved, 0, 263, 177, 186, 52, 0, 125, 193, 77, 77, solved, 0.00, 0.00, 0.00, 1200
86, solved, 0, 115, 92, 28, 47, 0, 45, 53, 87, 87, solved, 0.00, 0.00, 0.00, 1180
89, solved, 17, 11896, 4673, 11824, 3041, 0, 1632, 3079, 72, 72, solved, 0.01, 0.01, 0.00, 1696
87, solved, 81, 33570, 11984, 33478, 3540, 0, 8444, 12289, 92, 92, solved, 0.08, 0.08, 0.00, 3856
88, unsolvable, 58, 17490, 7457, 17489, 0, 0, 7457, 12289, 21, 0, unsolvable, 0.06, 0.06, 0.00, 3688
91, solved, 45, 20500, 7772, 20399, 3438, 0, 4334, 6151, 101, 101, solved, 0.04, 0.04, 0.00, 2608
93, unsolvable, 3, 1247, 568, 1246, 84, 0, 484, 769, 11, 0, unsolvable, 0.00, 0.00, 0.00, 1300
94, solved, 0, 115, 77, 42, 35, 0, 42, 53, 73, 73, solved, 0.00, 0.00, 0.00, 1180
95, solved, 0, 330, 224, 251, 80, 0, 144, 193, 79, 79, solved, 0.00, 0.00, 0.00, 1208
96, solved, 0, 155, 107, 67, 55, 0, 52, 53, 88, 88, solved, 0.00, 0.00, 0.00, 1180
97, solved, 20, 8439, 3310, 8355, 902, 0, 2408, 3079, 84, 84, solved, 0.02, 0.02, 0.00, 1844
99, solved, 0, 372, 203, 286, 91, 0, 112, 193, 86, 86, solved, 0.00, 0.00, 0.00, 1200
100, solved, 7, 3259, 1629, 3180, 496, 0, 1133, 1543, 79, 79, solved, 0.01, 0.00, 0.00, 1468
102, unsolvable, 14, 5586, 2212, 5585, 355, 0, 1857, 3079, 23, 0, unsolvable, 0.01, 0.01, 0.00, 1764
101, unsolvable, 71, 34540, 18235, 34539, 9627, 0, 8608, 12289, 27, 0, unsolvable, 0.07, 0.07, 0.00, 3956
74, unsolvable, 727, 279667, 110860, 279666, 29045, 0, 81815, 98317, 42, 0, unsolvable, 0.78, 0.76, 0.01, 29056
103, solved, 51, 21754, 8225, 21679, 2159, 0, 6066, 6151, 75, 75, solved, 0.05, 0.05, 0.00, 3128
105, unsolvable, 0, 118, 72, 117, 21, 0, 51, 53, 11, 0, unsolvable, 0.00, 0.00, 0.00, 1172
104, solved, 46, 25992, 6963, 25913, 2069, 0, 4894, 6151, 79, 79, solved, 0.05, 0.05, 0.00, 2636
106, unsolvable, 1, 386, 191, 385, 26, 0, 165, 193, 10, 0, unsolvable, 0.00, 0.00, 0.00, 1208
107, unsolvable, 0, 3, 3, 2, 1, 0, 2, 53, 2, 0, unsolvable, 0.00, 0.00, 0.00, 1176
109, solved, 0, 268, 167, 182, 71, 0, 96, 97, 86, 86, solved, 0.00, 0.00, 0.00, 1192
98, solved, 320, 154870, 59952, 154788, 25652, 0, 34300, 49157, 82, 82, solved, 0.34, 0.33, 0.00, 12424
111, solved, 31, 13451, 4742, 13364, 981, 0, 3761, 6151, 87, 87, solved, 0.03, 0.03, 0.00, 2368
113, solved, 5, 2248, 785, 2162, 361, 0, 424, 769, 86, 86, solved, 0.00, 0.00, 0.00, 1288
114, solved, 16, 11843, 4655, 11765, 2904, 0, 1751, 3079, 78, 78, solved, 0.01, 0.01, 0.00, 1596
56, solved, 1501, 802140, 319594, 802055, 172751, 0, 146843, 196613, 85, 85, solved, 1.61, 1.57, 0.03, 49916
118, solved, 0, 273, 189, 184, 122, 0, 67, 97, 89, 89, solved, 0.00, 0.00, 0.00, 1180
112, solved, 153, 106513, 30353, 106438, 16405, 0, 13948, 24593, 75, 75, solved, 0.16, 0.15, 0.00, 5516
