seed,result,time (seconds)
1,unsolvable,2.277
2,unknown,87.521
3,unknown,34.05
4,unknown,136.965
5,unknown,8.132
6,unknown,44.157
7,unknown,46.517
8,unknown,8.419
9,unknown,22.646
10,unknown,18.656
11,unknown,29.323
12,unknown,10.856
13,unknown,30.407
14,unknown,32.578
15,unsolvable,1.303
16,unknown,37.675
17,unknown,34.134
18,unknown,22.299
19,unsolvable,107.014
20,unknown,8.441
21,unsolvable,6.422
22,unsolvable,1.684
23,unknown,35.158
24,unknown,9.348
25,unknown,41.446
26,unknown,9.37
27,unknown,31.356
28,unknown,23.813
29,unsolvable,14.754
30,unknown,15.994
31,unknown,15.381
32,unknown,17.231
33,unsolvable,1.358
34,unknown,7.695
35,unknown,17.248
36,unknown,8.522
37,unknown,45.619
38,unknown,32.59
39,unsolvable,3.523
40,unsolvable,1.591
41,unknown,24.901
42,unknown,29.213
43,unsolvable,2.894
44,unknown,33.399
45,unsolvable,13.809
46,unknown,44.434
47,unknown,15.81
48,unknown,50.67
49,unknown,23.9
50,unknown,21.393
51,unsolvable,35.702
52,unknown,7.96
53,unknown,18.215
54,unknown,10.311
55,unknown,43.517
56,unknown,27.71
57,unknown,19.721
58,unknown,21.376
59,unsolvable,25.388
60,unknown,6.047
61,unknown,10.974
62,unknown,36.09
63,unknown,33.682
64,unknown,32.86
65,unknown,28.813
66,unknown,18.616
67,unknown,60.31
68,unknown,14.808
69,unknown,14.36
70,unsolvable,19.119
71,unknown,40.572
72,unknown,42.616
73,unsolvable,35.041
74,unknown,132.272
75,unknown,27.102
76,unknown,84.702
77,unknown,19.007
78,unsolvable,2.175
79,unknown,19.25
80,unknown,19.057
81,unsolvable,129.971
82,unknown,32.862
83,unknown,16.233
84,unknown,29.678
85,unknown,29.913
86,unknown,16.672
87,unknown,28.939
88,unsolvable,2.659
89,unknown,18.794
90,unknown,25.182
91,unknown,58.59
92,unknown,49.172
93,unsolvable,14.576
94,unknown,22.791
95,unknown,21.717
96,unknown,55.614
97,unknown,56.17
98,unknown,22.554
99,unknown,15.81
100,unknown,22.542
101,unknown,34.134
102,unsolvable,2.731
103,unknown,29.743
104,unknown,16.601
105,unsolvable,47.941
106,unsolvable,16.909
107,unsolvable,29.123
108,unknown,61.83
109,unknown,12.748
110,unknown,70.313
111,unknown,67.392
112,unknown,28.301
113,unknown,24.561
114,unknown,9.67
115,unknown,9.447
116,unsolvable,30.801
117,unknown,78.465
118,unknown,9.961
119,unknown,25.468
120,unknown,19.493
121,unsolvable,80.713
122,unknown,34.933
123,unknown,9.642
124,unsolvable,3.061
125,unknown,19.337
126,unknown,40.38
127,unknown,24.838
128,unknown,8.761
129,unknown,30.201
130,unknown,29.809
131,unknown,23.79
132,unknown,61.694
133,unknown,44.967
134,unknown,54.156
135,unknown,44.589
136,unknown,16.891
137,unknown,11.307
138,unknown,14.388
139,unsolvable,7.526
140,unknown,24.529
141,unknown,63.882
142,unsolvable,24.221
143,unsolvable,13.598
144,unknown,31.122
145,unsolvable,1.627
146,unknown,20.474
147,unknown,33.976
148,unknown,144.228
149,unknown,62.296
150,unknown,16.655
151,unknown,22.262
152,unknown,37.138
153,unsolvable,16.207
154,unknown,9.303
155,unknown,36.348
156,unsolvable,24.141
157,unknown,10.411
158,unknown,48.349
159,unknown,18.305
160,unknown,27.396
161,unknown,56.912
162,unknown,22.194
163,unknown,8.114
164,unknown,21.309
165,unknown,37.515
166,unknown,24.95
167,unknown,31.359
168,unknown,24.243
169,unknown,30.974
170,unknown,23.554
171,unknown,22.245
172,unknown,55.206
173,unknown,69.394
174,unknown,57.696
175,unknown,33.429
176,unknown,28.533
177,unknown,25.461
178,unknown,43.183
179,unknown,10.482
180,unknown,60.446
181,unsolvable,2.44
182,unknown,31.038
183,unknown,17.07
184,unknown,24.215
185,unknown,10.065
186,unknown,40.897
187,unknown,61.965
188,unknown,98.802
189,unknown,25.085
190,unknown,29.164
191,unknown,13.937
192,unknown,43.819
193,unknown,17.41
194,unknown,16.953
195,unknown,120.016
196,unknown,19.893
197,unknown,51.534
198,unknown,7.647
199,unknown,9.715
200,unknown,24.321
201,unknown,70.243
202,unknown,22.638
203,unknown,111.414
204,unknown,21.209
205,unknown,10.432
206,unknown,70.991
207,unknown,49.308
208,unknown,51.233
209,unknown,24.533
210,unknown,27.96
211,unknown,45.331
212,unknown,23.673
213,unsolvable,2.509
214,unknown,22.584
215,unknown,21.091
216,unknown,24.22
217,unknown,49.775
218,unknown,55.47
219,unknown,31.165
220,unknown,40.82
221,unknown,16.241
222,unknown,49.93
223,unsolvable,10.324
224,unknown,8.16
225,unknown,32.24
226,unknown,29.381
227,unknown,59.005
228,unknown,39.2
229,unknown,35.031
230,unknown,45.159
231,unknown,7.641
232,unknown,16.221
233,unknown,23.402
234,unknown,28.51
235,unknown,61.231
236,unknown,78.677
237,unknown,128.736
238,unknown,9.074
239,unsolvable,2.841
240,unknown,22.661
241,unknown,50.149
242,unknown,66.707
243,unknown,22.639
244,unknown,105.211
245,unknown,66.294
246,unknown,29.763
247,unknown,27.494
248,unsolvable,210.188
249,unknown,48.233
250,unknown,16.658
251,unknown,25.79
252,unknown,41.797
253,unknown,31.695
254,unknown,50.592
255,unknown,30.309
256,unsolvable,6.172
257,unknown,24.719
258,unknown,14.45
259,unknown,20.525
260,unknown,32.041
261,unknown,34.548
262,unknown,11.232
263,unknown,40.543
264,unknown,56.338
265,unsolvable,12.569
266,unknown,14.162
267,unknown,50.897
268,unknown,18.348
269,unknown,27.818
270,unknown,67.766
271,unknown,62.746
272,unknown,32.868
273,unknown,20.38
274,unknown,16.143
275,unknown,42.338
276,unknown,19.255
277,unknown,17.015
278,unknown,24.586
279,unknown,11.49
280,unsolvable,362.012
281,unknown,9.864
282,unsolvable,18.713
283,unsolvable,90.977
284,unknown,11.393
285,unknown,29.199
286,unknown,95.4
287,unknown,52.455
288,unknown,10.638
289,unknown,7.658
290,unknown,27.544
291,unknown,20.907
292,unknown,16.993
293,unknown,15.55
294,unknown,18.593
295,unknown,43.798
296,unknown,35.312
297,unknown,24.589
298,unknown,34.27
299,unknown,52.633
300,unknown,18.179
301,unknown,41.168
302,unknown,24.642
303,unknown,68.269
304,unknown,26.284
305,unknown,26.907
306,unknown,29.969
307,unsolvable,6.702
308,unknown,31.039
309,unknown,39.504
310,unknown,32.693
311,unknown,51.315
312,unsolvable,1.359
313,unknown,73.864
314,unknown,22.465
315,unknown,25.7
316,unknown,10.143
317,unknown,38.194
318,unknown,39.334
319,unsolvable,84.8
320,unknown,22.341
321,unknown,67.581
322,unsolvable,123.507
323,unsolvable,34.204
324,unknown,17.022
325,unknown,24.556
326,unknown,24.176
327,unknown,37.011
328,unknown,32.764
329,unsolvable,2.218
330,unknown,24.332
331,unknown,95.729
332,unknown,72.015
333,unknown,22.846
334,unknown,8.685
335,unknown,61.555
336,unsolvable,1.504
337,unknown,40.128
338,unknown,16.807
339,unknown,55.579
340,unknown,25.071
341,unknown,40.162
342,unknown,34.813
343,unknown,10.813
344,unknown,20.003
345,unknown,63.877
346,unknown,28.318
347,unknown,23.53
348,unknown,10.319
349,unknown,7.467
350,unknown,39.079
351,unknown,45.679
352,unknown,51.86
353,unknown,6.038
354,unknown,50.729
355,unknown,8.394
356,unknown,23.163
357,unknown,23.425
358,unknown,31.49
359,unknown,37.774
360,unknown,16.58
361,unsolvable,3.156
362,unknown,21.808
363,unknown,23.16
364,unsolvable,35.545
365,unknown,9.488
366,unknown,34.537
367,unknown,15.343
368,unknown,17.148
369,unknown,15.713
370,unknown,27.407
371,unknown,9.541
372,unknown,43.178
373,unknown,53.095
374,unknown,17.311
375,unknown,17.222
376,unknown,50.162
377,unknown,18.935
378,unknown,42.268
379,unknown,29.72
380,unsolvable,2.851
381,unknown,23.448
382,unknown,19.415
383,unknown,29.804
384,unknown,49.829
385,unknown,26.692
386,unknown,10.411
387,unknown,31.028
388,unknown,23.312
389,unknown,64.227
390,unknown,27.246
391,unknown,17.006
392,unknown,18.14
393,unknown,43.3
394,unsolvable,63.461
395,unknown,10.215
396,unknown,29.377
397,unknown,40.569
398,unknown,123.438
399,unknown,37.879
400,unknown,125.217
401,unknown,24.133
402,unknown,23.02
403,unsolvable,27.977
404,unknown,69.65
405,unknown,26.59
406,unknown,73.749
407,unknown,27.556
408,unknown,32.156
409,unknown,45.368
410,unknown,43.645
411,unknown,22.521
412,unknown,45.59
413,unknown,28.509
414,unknown,111.092
415,unsolvable,1.273
416,unknown,26.459
417,unknown,20.64
418,unknown,34.48
419,unknown,52.259
420,unknown,35.23
421,unknown,25.274
422,unsolvable,38.521
423,unknown,65.183
424,unknown,37.155
425,unknown,14.128
426,unknown,30.195
427,unknown,30.736
428,unknown,27.737
429,unknown,41.473
430,unknown,38.749
431,unknown,25.149
432,unknown,47.485
433,unknown,25.385
434,unknown,8.308
435,unknown,35.397
436,unknown,61.313
437,unsolvable,20.202
438,unknown,7.459
439,unknown,28.283
440,unknown,25.464
441,unknown,23.183
442,unknown,8.37
443,unknown,46.172
444,unknown,9.713
445,unknown,22.162
446,unknown,31.786
447,unknown,65.878
448,unknown,39.835
449,unknown,32.278
450,unknown,70.513
451,unknown,15.432
452,unsolvable,13.692
453,unknown,50.512
454,unknown,27.671
455,unknown,18.088
456,unknown,29.299
457,unknown,25.919
458,unknown,15.594
459,unknown,18.909
460,unknown,25.161
461,unknown,60.01
462,unsolvable,3.085
463,unknown,61.6
464,unknown,61.289
465,unknown,26.209
466,unknown,124.352
467,unknown,46.018
468,unknown,18.177
469,unknown,14.703
470,unknown,24.708
471,unknown,39.216
472,unknown,11.568
473,unknown,40.118
474,unknown,13.985
475,unknown,22.085
476,unsolvable,388.148
477,unsolvable,100.172
478,unknown,4.719
479,unsolvable,5.618
480,unknown,21.522
481,unknown,18.183
482,unknown,22.745
483,unknown,25.188
484,unknown,31.597
485,unknown,21.625
486,unknown,19.573
487,unknown,16.902
488,unknown,7.934
489,unknown,48.904
490,unknown,21.346
491,unknown,19.522
492,unknown,17.869
493,unknown,24.246
494,unknown,10.745
495,unknown,48.156
496,unknown,22.424
497,unknown,18.116
498,unknown,27.397
499,unknown,24.993
500,unknown,10.29
501,unknown,64.351
502,unknown,29.675
503,unknown,29.52
504,unsolvable,10.532
505,unknown,18.285
506,unknown,28.511
507,unknown,19.985
508,unknown,10.185
509,unknown,38.434
510,unknown,27.182
511,unknown,24.403
512,unknown,48.618
513,unknown,18.212
514,unknown,36.486
515,unknown,83.269
516,unknown,29.925
517,unknown,18.764
518,unknown,23.803
519,unknown,10.055
520,unsolvable,11.59
521,unknown,121.322
522,unknown,37.95
523,unknown,32.634
524,unknown,15.098
525,unknown,108.524
526,unknown,18.366
527,unknown,18.331
528,unsolvable,1.939
529,unknown,48.001
530,unknown,19.692
531,unknown,17.031
532,unknown,65.022
533,unsolvable,196.472
534,unknown,9.907
535,unknown,68.149
536,unknown,31.914
537,unknown,16.721
538,unknown,23.087
539,unknown,26.238
540,unknown,26.635
541,unknown,71.958
542,unknown,22.907
543,unknown,33.448
544,unknown,32.822
545,unknown,6.09
546,unknown,23.922
547,unknown,24.886
548,unknown,44.174
549,unknown,21.061
550,unknown,40.075
551,unsolvable,6.534
552,unknown,23.95
553,unknown,34.733
554,unknown,23.556
555,unknown,17.443
556,unknown,23.96
557,unknown,41.316
558,unknown,17.905
559,unknown,63.882
560,unknown,16.742
561,unknown,8.308
562,unknown,7.328
563,unknown,8.218
564,unknown,43.517
565,unknown,12.029
566,unknown,70.872
567,unknown,22.668
568,unknown,30.499
569,unsolvable,130.779
570,unknown,7.398
571,unknown,8.23
572,unknown,60.603
573,unknown,29.451
574,unknown,18.177
575,unknown,51.666
576,unknown,22.152
577,unknown,16.288
578,unknown,38.656
579,unknown,10.193
580,unknown,45.729
581,unknown,27.956
582,unknown,16.808
583,unknown,13.854
584,unknown,27.942
585,unknown,13.8
586,unsolvable,18.42
587,unsolvable,3.367
588,unknown,31.717
589,unknown,16.772
590,unknown,22.641
591,unsolvable,2.71
592,unknown,8.099
593,unknown,29.415
594,unknown,21.654
595,unknown,53.812
596,unknown,45.024
597,unknown,14.664
598,unknown,8.219
599,unknown,179.604
600,unknown,12.291
601,unknown,25.173
602,unknown,72.62
603,unknown,32.632
604,unknown,21.861
605,unknown,21.797
606,unknown,22.993
607,unknown,39.386
608,unknown,26.933
609,unsolvable,254.573
610,unsolvable,1.344
611,unsolvable,27.609
612,unsolvable,45.549
613,unknown,24.639
614,unknown,59.568
615,unsolvable,2.902
616,unknown,33.537
617,unknown,24.259
618,unknown,44.69
619,unknown,24.484
620,unknown,19.519
621,unknown,26.745
622,unknown,43.772
623,unknown,48.871
624,unknown,18.28
625,unsolvable,27.457
626,unsolvable,42.149
627,unsolvable,14.775
628,unknown,15.421
629,unknown,31.067
630,unknown,16.495
631,unknown,37.167
632,unsolvable,1.504
633,unsolvable,173.29
634,unknown,23.063
635,unknown,26.295
636,unknown,19.105
637,unknown,53.744
638,unknown,23.435
639,unknown,16.18
640,unknown,39.038
641,unknown,41.468
642,unknown,24.928
643,unknown,46.823
644,unknown,89.37
645,unknown,23.246
646,unknown,23.341
647,unknown,66.155
648,unknown,24.797
649,unknown,14.883
650,unknown,80.984
651,unknown,31.483
652,unknown,19.042
653,unknown,32.649
654,unknown,15.5
655,unknown,17.299
656,unknown,21.671
657,unknown,20.199
658,unknown,57.246
659,unknown,87.392
660,unknown,38.65
661,unknown,162.479
662,unknown,45.419
663,unknown,11.102
664,unknown,30.463
665,unknown,15.366
666,unknown,61.515
667,unknown,29.172
668,unsolvable,2.542
669,unknown,24.481
670,unknown,29.854
671,unknown,32.502
672,unknown,10.183
673,unknown,27.334
674,unknown,36.898
675,unknown,33.578
